path,problem,solution,grid_size,num_colors
8x8_6c_9_fc59c90b.txt,"D.......
.E......
.FA..C..
........
...B....
......F.
..CBA.E.
D.......","DEEEEEEE
DEAAAAAE
DFACCCAE
DFCCAAAE
DFCBAEEE
DFCBAEFF
DFCBAEEF
DFFFFFFF",8x8,6
5x5_5c_2_a482332b.txt,"E.DA.
C..B.
.....
..D..
C.EBA","EEDAA
CEDBA
CEDBA
CEDBA
CEEBA",5x5,5
9x9_7c_6_d4cb8ca8.txt,"...G....A
.B......C
..DE.....
.........
......G..
....E...C
F.B...ADF
.........
.........","DDDGGGGAA
DBDDDDGAC
DBDEEDGAC
DBDDEDGAC
DBBDEDGAC
DDBDEDAAC
FDBDDDADF
FDDDDDDDF
FFFFFFFFF",9x9,7
6x6_4c_6_a09192ab.txt,"C.B...
A.....
...A..
.D....
.C.B..
.....D","CCBBBB
ACCCCB
AAAACB
DDCCCB
DCCBBB
DDDDDD",6x6,4
5x5_4c_8_904e33b2.txt,".....
.D.AB
B.ADC
C....
.....","BBBBB
BDAAB
BDADC
CDDDC
CCCCC",5x5,4
7x7_5c_2_629a2f5e.txt,"...CD..
.AB..A.
....D..
.......
.......
.....B.
CE.E...","CCCCDDD
CABAAAD
CABADDD
CABAAAA
CABBBBA
CAAAABA
CEEEAAA",7x7,5
8x8_6c_3_cade0083.txt,"A.BC....
..E...E.
........
...C....
...F..D.
........
.BA....F
.......D","ABBCCCCC
ABEEEEEC
ABDDDDDC
ABDCCCDC
ABDFFCDC
ABDDFCCC
ABADFFFF
AAADDDDD",8x8,6
7x7_6c_9_220f13d1.txt,".F.B...
.B...C.
..F....
.......
E.....A
C.E....
D....DA","FFBBEEE
FBBEECE
FFFECCE
EEEECEE
ECCCCEA
CCEEEEA
DDDDDDA",7x7,6
7x7_5c_5_a2f64424.txt,"E..B...
.A...A.
....C..
..B....
..E....
....C.D
D......","EEEBCCC
AAEBCAC
AEEBCAC
AEBBAAC
AEEAACC
AAAACCD
DDDDDDD",7x7,5
6x6_4c_7_a09192ab.txt,"C.B...
A.....
...A..
.D....
.C.B..
.....D","CCBBBB
ACCCCB
AAAACB
DDCCCB
DCCBBB
DDDDDD",6x6,4
5x5_3c_7_3b862eec.txt,"A....
.B.B.
...C.
..C..
A....","ABBBB
ABBBB
ABBCB
ABCCB
ABBBB",5x5,3
6x6_5c_6_25f9a72a.txt,"C.D...
....B.
...B..
....E.
C.A..E
D....A","CDDEEE
CDEEBE
CDEBBE
CDEEEE
CDAEEE
DDAAAA",6x6,5
6x6_5c_7_25f9a72a.txt,"C.D...
....B.
...B..
....E.
C.A..E
D....A","CDDEEE
CDEEBE
CDEBBE
CDEEEE
CDAEEE
DDAAAA",6x6,5
9x9_7c_5_297ba08d.txt,".........
.........
......B..
C.......C
..B.A....
..E.F....
..A...D..
.....D...
...G.EF.G","CCCCCCCCC
CGGGGGGGC
CGBBBBBGC
CGBFFFFGC
GGBFAAFGG
GEEFFAFFG
GEAAAADFG
GEEEEDDFG
GGGGEEFFG",9x9,7
5x5_4c_2_812f5e6a.txt,"AB...
...C.
DA...
.C.BD
.....","ABBBB
AACCB
DACBB
DCCBD
DDDDD",5x5,4
8x8_6c_2_9769657e.txt,"........
.B..D.F.
....CD..
..A.....
A.C.E...
........
BF......
E.......","AAAEEEEE
ABAEDDFE
ABAECDFE
ABAECCFE
ABCEECFE
BBCCCCFE
BFFFFFFE
EEEEEEEE",8x8,6
8x8_8c_3_c81e3705.txt,"HFD..D.E
.......A
.F....C.
.....G..
.......B
..CE.AH.
....G...
......B.","HFDDDDEE
HFEEEEEA
HFECCCCA
HEECGGAA
HECCGAAB
HECEGAHB
HEEEGHHB
HHHHHHBB",8x8,8
9x9_7c_1_e28dfc75.txt,"......GDB
.F..FA...
.........
..C......
....D.B..
..C......
...G.....
.E.....EA
.........","AAAAAAGDB
AFFFFAGDB
AGGGGGGDB
AGCBBBBDB
AGCBDDBDB
AGCBBDDDB
AGGGBBBBB
AEEEEEEEA
AAAAAAAAA",9x9,7
7x7_7c_8_63dec1fa.txt,"F....AE
.......
.A.GF..
.C.....
.....C.
.B...B.
GD...DE","FFFFFAE
GGGGFAE
GAAGFAE
GCAAAAE
GCCCCCE
GBBBBBE
GDDDDDE",7x7,7
6x6_6c_6_f86ee188.txt,"BD...E
.ED.C.
....A.
......
BAC...
F....F","BDDEEE
BEDECC
BEEEAC
BAAAAC
BACCCC
FFFFFF",6x6,6
7x7_6c_4_ad1343f0.txt,"AC..D..
..B....
A....C.
E..E...
..D....
..BF.F.
.......","ACCCDDD
ABBCCCD
ABDDDCD
EBDEDDD
EBDEEEE
EBBFFFE
EEEEEEE",7x7,6
5x5_5c_8_22075c83.txt,"C...C
..EDA
.....
.DEBA
....B","CCCCC
EEEDA
EDDDA
EDEBA
EEEBB",5x5,5
6x6_5c_5_3ac21572.txt,"......
B.....
...A..
.A.CE.
.D..B.
.ED..C","BBBBBB
BEEEEB
EEAAEB
EAACEB
EDDCBB
EEDCCC",6x6,5
8x8_6c_10_7f24b2e8.txt,".E......
.A.BFC..
.B...E..
....F...
........
.D.AC...
......D.
........","EEAAAAAA
EAABFCCA
EBBBFECA
EEEEFECA
AAAEEECA
ADAACCCA
ADDDDDDA
AAAAAAAA",8x8,6
7x7_5c_6_d45b6049.txt,"......D
.A.....
D....C.
..A....
.......
.E...B.
.CBE...","DDDDDDD
DAAAAAA
DCCCCCA
CCAAAAA
CEEEEEE
CEBBBBE
CCBEEEE",7x7,5
7x7_5c_4_a2f64424.txt,"E..B...
.A...A.
....C..
..B....
..E....
....C.D
D......","EEEBCCC
AAEBCAC
AEEBCAC
AEBBAAC
AEEAACC
AAAACCD
DDDDDDD",7x7,5
6x6_6c_2_c60e480c.txt,"F.FA..
...DB.
......
.B..E.
.E.C.A
...D.C","FFFAAA
DDDDBA
DBBBBA
DBEEEA
DEECCA
DDDDCC",6x6,6
7x7_7c_9_7e442b1b.txt,"...FA..
.DC.B..
..G.EB.
.......
..GFE.C
....DA.
.......","CCCFAAA
CDCFBBA
CDGFEBA
CDGFEAA
CDGFEAC
CDDDDAC
CCCCCCC",7x7,7
7x7_5c_6_a2f64424.txt,"E..B...
.A...A.
....C..
..B....
..E....
....C.D
D......","EEEBCCC
AAEBCAC
AEEBCAC
AEBBAAC
AEEAACC
AAAACCD
DDDDDDD",7x7,5
6x6_6c_3_f86ee188.txt,"BD...E
.ED.C.
....A.
......
BAC...
F....F","BDDEEE
BEDECC
BEEEAC
BAAAAC
BACCCC
FFFFFF",6x6,6
6x6_4c_2_f296c06e.txt,"......
......
...B.D
...C..
.....A
DA.B.C","DDDDDD
DAAAAD
DABBAD
DABCAA
DABCCA
DABBCC",6x6,4
5x5_5c_7_4f5ec3ca.txt,"DECB.
.....
..E.B
DC..A
A....","DECBB
DECCB
DEECB
DCCCA
AAAAA",5x5,5
7x7_5c_3_26f5cc22.txt,"DE.B...
.....C.
....C..
.......
....B..
...A.A.
.D.E...","DEBBAAA
DEBAACA
DEBACCA
DEBAAAA
DEBBBAA
DEEAAAA
DDEEAAA",7x7,5
7x7_7c_4_f29c58ac.txt,"D.BE..E
..FAG..
....C..
....G..
.B.....
.DF..C.
A......","DBBEEEE
DBFAGGG
DBFACCG
DBFAGCG
DBFAGCG
DDFAGCG
AAAAGGG",7x7,7
5x5_3c_8_3b79ecca.txt,".....
B..C.
...A.
.A.B.
....C","BBBBB
BCCCB
CCAAB
CAABB
CCCCC",5x5,3
9x9_9c_9_e082bc41.txt,"......HGA
.BC..D...
.....F...
.........
.B.....G.
.......IA
..E.H.D.C
...F..I..
.E.......","EEEEHHHGA
EBCEHDDGA
EBCEHFDGA
EBCEHFDGA
EBCEHFDGA
ECCEHFDIA
ECEEHFDIC
ECCFFFIIC
EECCCCCCC",9x9,9
7x7_5c_2_a2f64424.txt,"E..B...
.A...A.
....C..
..B....
..E....
....C.D
D......","EEEBCCC
AAEBCAC
AEEBCAC
AEBBAAC
AEEAACC
AAAACCD
DDDDDDD",7x7,5
8x8_6c_5_edf4c497.txt,"CE......
........
.C.BD...
.B.AF...
........
.A......
.F.D....
.......E","CEEEEEEE
CCCCCCCE
CCBBDDCE
CBBAFDCE
CAAAFDCE
CAFFFDCE
CFFDDDCE
CCCCCCCE",8x8,6
9x9_7c_4_b67fe4d3.txt,"...A....E
A....G...
.........
.B.E...D.
...F.....
.......G.
.B....D..
....F...C
C........","AAAADDDDE
ADDDDGGDE
DDDDDDGDE
DBDEEDGDE
DBDFEDGGE
DBDFEDDGE
DBDFEEDEE
DDDFFEEEC
CCCCCCCCC",9x9,7
6x6_6c_10_f86ee188.txt,"BD...E
.ED.C.
....A.
......
BAC...
F....F","BDDEEE
BEDECC
BEEEAC
BAAAAC
BACCCC
FFFFFF",6x6,6
6x6_4c_1_a09192ab.txt,"C.B...
A.....
...A..
.D....
.C.B..
.....D","CCBBBB
ACCCCB
AAAACB
DDCCCB
DCCBBB
DDDDDD",6x6,4
9x9_8c_1_55c4888b.txt,"C........
.......G.
.....H.C.
..F..D.E.
.......H.
.FB......
.......A.
.B...D..A
......G.E","CCCCCCCCC
GGGGGGGGC
GBBBBHHCC
GBFFBDHEE
GBBFBDHHE
GFBFBDEEE
GFFFBDEAA
GBBBBDEEA
GGGGGGGEE",9x9,8
8x8_7c_5_0118fd6b.txt,"........
B.......
........
....A.F.
F.A.....
E.G..D.C
...GD...
....EB.C","BBBBBBBB
BFFFFFFB
FFGGGGFB
FGGAAGFB
FGAAGGBB
EGGGGDBC
EGGGDDBC
EEEEEBBC",8x8,7
6x6_6c_9_3a68d0e8.txt,"BA...A
..E...
..D.F.
..F..D
..C.CE
B.....","BAAAAA
BEEDDD
BEDDFD
BEFFFD
BECCCE
BEEEEE",6x6,6
10x10_9c_3_30461201.txt,"E........E
..H...A...
....G...F.
..........
...IG.....
.A........
.....C.DB.
..........
.FIH....C.
........BD","EEEEEEEEEE
HHHAAAAGGG
HAAAGGGGFG
HAFFFFFFFG
HAFIGGGGGG
HAFIBBBDDD
HFFIBCBDBD
HFIIBCBBBD
HFIHBCCCCD
HHHHBBBBBD",10x10,9
7x7_6c_7_220f13d1.txt,".F.B...
.B...C.
..F....
.......
E.....A
C.E....
D....DA","FFBBEEE
FBBEECE
FFFECCE
EEEECEE
ECCCCEA
CCEEEEA
DDDDDDA",7x7,6
6x6_5c_2_3ac21572.txt,"......
B.....
...A..
.A.CE.
.D..B.
.ED..C","BBBBBB
BEEEEB
EEAAEB
EAACEB
EDDCBB
EEDCCC",6x6,5
5x5_3c_2_3b79ecca.txt,".....
B..C.
...A.
.A.B.
....C","BBBBB
BCCCB
CCAAB
CAABB
CCCCC",5x5,3
7x7_7c_5_8c30c948.txt,".E....B
.A.FA.G
....F..
.D.....
.....C.
..B.CE.
D.....G","EEAAABB
EAAFABG
EEEFFBG
DDEBBBG
DEEBCCG
DEBBCEG
DEEEEEG",7x7,7
5x5_3c_7_3b79ecca.txt,".....
B..C.
...A.
.A.B.
....C","BBBBB
BCCCB
CCAAB
CAABB
CCCCC",5x5,3
10x10_9c_7_d35070f8.txt,"CB.......D
......I..B
..F.....D.
.E.A......
.H.F......
........G.
...EI.....
....AH....
..........
.......GC.","CBBBBBBBDD
CEEEEEIBDB
CEFFFEIBDB
CEAAFEIBBB
CHAFFEICCC
CHAEEEICGC
CHAEIIICGC
CHAAAHCCGC
CHHHHHCGGC
CCCCCCCGCC",10x10,9
5x5_4c_6_904e33b2.txt,".....
.D.AB
B.ADC
C....
.....","BBBBB
BDAAB
BDADC
CDDDC
CCCCC",5x5,4
5x5_4c_3_904e33b2.txt,".....
.D.AB
B.ADC
C....
.....","BBBBB
BDAAB
BDADC
CDDDC
CCCCC",5x5,4
9x9_8c_2_f539b23a.txt,"G.BH.....
..C......
..B...EA.
......AD.
F........
.........
..C.E....
.........
.F..GD.H.","GBBHHHHHH
GBCCAAAAH
GBBCAEEAH
GGCCAEADH
FGCAAEADH
FGCAEEADH
FGCAEAADH
FGGAAADDH
FFGGGDDHH",9x9,8
5x5_5c_10_4f5ec3ca.txt,"DECB.
.....
..E.B
DC..A
A....","DECBB
DECCB
DEECB
DCCCA
AAAAA",5x5,5
8x8_8c_10_f24df32a.txt,".AH.....
......B.
.BF..F..
.CG....D
....C...
..G.....
E..A....
..EH.D..","AAHHHHHH
ABBBBBBH
ABFFFFHH
ACGGGGHD
ACCCCGHD
AAGGGGHD
EAAAHHHD
EEEHHDDD",8x8,8
6x6_6c_5_396060ff.txt,"AEF...
....D.
...DC.
B.....
....C.
.BA.EF","AEFFFF
AEEDDF
AAEDCF
BAEECF
BAAECF
BBAEEF",6x6,6
9x9_8c_6_3e7403c4.txt,"...E...ED
FG.......
.......BF
...D.B...
G.A......
.........
.CHC..A..
....H....
.........","FFFEEEEED
FGFDDDDDD
GGFDAAABF
GFFDABABF
GFAAABABF
FFHHHBABF
FCHCHBABF
FCCCHBBBF
FFFFFFFFF",9x9,8
5x5_3c_5_3b862eec.txt,"A....
.B.B.
...C.
..C..
A....","ABBBB
ABBBB
ABBCB
ABCCB
ABBBB",5x5,3
9x9_7c_1_a599e0e6.txt,"....EA..A
.........
..B.C..D.
.........
E.B.F....
G.....G..
..F......
D........
.....C...","EEEEEAAAA
EFFFFFCCC
EFBCCFCDC
EFBCFFCDC
EFBCFCCDC
GFFCCCGDC
GGFGGGGDC
DGGGDDDDC
DDDDDCCCC",9x9,7
8x8_7c_8_12000403.txt,"..CA....
.A....D.
.EF.....
..G.E..B
....CD..
..G.....
......B.
.......F","CCCAFFFF
CAAAFDDF
CEFFFDFF
CEGEEDFB
CEGECDFB
CEGECFFB
CEEECFBB
CCCCCFFF",8x8,7
8x8_6c_7_1786c3a8.txt,"........
..F..E.D
C....D..
A.......
....E...
........
..CF..B.
A...B...","CCCCDDDD
CFFCDEED
CFCCDDEE
AFCBBBBE
AFCBEEBE
AFCBBEBE
AFCFBEBE
AFFFBEEE",8x8,6
10x10_9c_2_e3905cd9.txt,"E..E..G...
........A.
.CB...I...
..C..H..D.
..G......F
..........
..........
.......I..
..HFDA....
B.........","EEEEGGGFFF
GGGGGFFFAF
GCBBFFIAAF
GCCBFHIADF
GGGBFHIADF
BBBBFHIADD
BFFFFHIAAD
BFHHHHIIAD
BFHFDAAAAD
BFFFDDDDDD",10x10,9
5x5_3c_9_3b862eec.txt,"A....
.B.B.
...C.
..C..
A....","ABBBB
ABBBB
ABBCB
ABCCB
ABBBB",5x5,3
8x8_6c_10_7d3b36a6.txt,"....AB.E
........
..BD.E..
.....D..
A.......
F.......
C......F
.......C","AAAAABBE
AEEEEEBE
AEBDDEBE
AEBBDDBE
AEEBBBBE
FFEEEEEE
CFFFFFFF
CCCCCCCC",8x8,6
5x5_3c_3_87fc29c5.txt,"...A.
.C.B.
..B..
..C..
....A","BBBAA
BCBBA
BCBBA
BCCBA
BBBBA",5x5,3
8x8_6c_9_4b7bece2.txt,"........
.E....E.
CA....B.
...B....
.F.D....
..C..A..
..FD....
........","CCCCCCCC
CEEEEEEC
CAAAAABC
CCCBBABC
CFCDBABC
CFCDBABC
CFFDBBBC
CCCCCCCC",8x8,6
7x7_7c_6_ec4e7a56.txt,"..F.EA.
.....F.
.....B.
.E.C...
....BD.
GC..D.A
......G","FFFEEAA
FEEEFFA
FEFFFBA
FEFCBBA
FFFCBDA
GCCCDDA
GGGGGGG",7x7,7
6x6_5c_9_3ac21572.txt,"......
B.....
...A..
.A.CE.
.D..B.
.ED..C","BBBBBB
BEEEEB
EEAAEB
EAACEB
EDDCBB
EEDCCC",6x6,5
6x6_5c_7_3ac21572.txt,"......
B.....
...A..
.A.CE.
.D..B.
.ED..C","BBBBBB
BEEEEB
EEAAEB
EAACEB
EDDCBB
EEDCCC",6x6,5
6x6_4c_5_145c5d4f.txt,".....B
..AC..
.....C
...D..
.AB.D.
......","BBBBBB
BAACCC
BABBBC
BABDBB
BABDDB
BBBBBB",6x6,4
6x6_6c_8_3a68d0e8.txt,"BA...A
..E...
..D.F.
..F..D
..C.CE
B.....","BAAAAA
BEEDDD
BEDDFD
BEFFFD
BECCCE
BEEEEE",6x6,6
10x10_9c_6_0f9bfafe.txt,"....G.....
.C......D.
........A.
I.D.A...B.
..........
..B..F.F..
IC........
...H...H..
.E..E.....
......G...","DDDDGGGGGG
DCCDDDDDDG
DDCCAAAAAG
IDDCABBBBG
ICCCBBFFFG
ICBBBFFFFG
ICFFFFFFFG
FFFHHHHHFG
FEEEEFFFFG
FFFFFFGGGG",10x10,9
10x10_9c_6_86268115.txt,"...A......
FI........
D......C..
..I...E...
H....C.G..
.D.G...A.F
.B.E......
..........
........H.
.........B","FFFAAAAAAA
FIFFGGGGGA
DIIFGCCCGA
DDIFGCEGGA
HDFFGCEGAA
HDFGGEEAAF
HBFEEEFFFF
HBFFFFFBBB
HBBBBBBBHB
HHHHHHHHHB",10x10,9
5x5_3c_4_3b862eec.txt,"A....
.B.B.
...C.
..C..
A....","ABBBB
ABBBB
ABBCB
ABCCB
ABBBB",5x5,3
5x5_4c_4_904e33b2.txt,".....
.D.AB
B.ADC
C....
.....","BBBBB
BDAAB
BDADC
CDDDC
CCCCC",5x5,4
5x5_3c_10_87fc29c5.txt,"...A.
.C.B.
..B..
..C..
....A","BBBAA
BCBBA
BCBBA
BCCBA
BBBBA",5x5,3
7x7_6c_1_6ec3c337.txt,"...E...
.B.....
..D....
..A..F.
..B..C.
.A..D..
FC....E","FFFEEEE
FBFFFFE
FBDDDFE
FBAADFE
FBBADCE
FAAADCE
FCCCCCE",7x7,6
7x7_7c_10_077103b2.txt,"..CD...
.E.....
CD...E.
G......
..F...B
.A...A.
...G.FB","CCCDDDD
CEEEEED
CDDDDED
GAAADDD
GAFAAAB
GAFFFAB
GGGGFFB",7x7,7
8x8_7c_4_a3784e4f.txt,"FA......
.G......
.....B..
.....D..
...F....
.B..C..A
.C..EDGE
........","FAAAAAAA
FGGGGGGA
FBBBBBGA
FBCCCDGA
FBCFCDGA
FBCFCDGA
FCCFEDGE
FFFFEEEE",8x8,7
7x7_7c_10_0d9589a3.txt,"..EB...
.DA....
...FC..
...A...
.DC...B
.G....F
...E..G","EEEBBBB
EDAFFFB
EDAFCFB
EDAACFB
EDCCCFB
EGGGGFF
EEEEGGG",7x7,7
5x5_5c_7_22075c83.txt,"C...C
..EDA
.....
.DEBA
....B","CCCCC
EEEDA
EDDDA
EDEBA
EEEBB",5x5,5
7x7_7c_3_9baf1145.txt,"..C...D
..G.F..
..A...D
......C
..GFA..
E......
.EB...B","CCCAAAD
CGGAFAD
CGAAFAD
CGGFFAC
CCGFAAC
ECCCCCC
EEBBBBB",7x7,7
5x5_4c_5_812f5e6a.txt,"AB...
...C.
DA...
.C.BD
.....","ABBBB
AACCB
DACBB
DCCBD
DDDDD",5x5,4
9x9_8c_2_b69f748c.txt,"...H.....
H........
F.A..BD..
..B..D..E
..E...G..
.....G.C.
..A..C...
........F
.........","HHHHEEEEE
HEEEEBBBE
FEAAABDBE
FEBBADDBE
FEEBAGGBB
FBBBAGCCB
FBAAACCBB
FBBBBBBBF
FFFFFFFFF",9x9,8
7x7_7c_1_9dd2760b.txt,".......
DBEA...
C.....D
.....AC
..GB.E.
.G.....
...F..F","DDDDDDD
DBEAAAD
CBEEEAD
CBBBEAC
CGGBEEC
CGCCCCC
CCCFFFF",7x7,7
8x8_8c_2_5eb06022.txt,"H.......
..F...FE
..D....D
H.E....C
....C...
.G.GA.A.
........
B......B","HEEEEEEE
HEFFFFFE
HEDDDDDD
HEEAAAAC
AAAACCAC
AGGGACAC
AAAAACCC
BBBBBBBB",8x8,8
